_id,Job Title,Company Name,Location,Job Type,Workplace Type,Years of Experience,Career Level,Job Category,Skills,Job Link
680d059c9eeca96d883e584e,Chainman Office manager,Confidential -,"6th of October, Giza, Egypt",Full Time,On-site,· 5 - 10 Yrs of Exp,Experienced,· Administration,"['· Secretary', '· Communication skills', '· Office management']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/2CHKf50kyC3Z-Chainman-Office-manager-Giza-Egypt
680d059c9eeca96d883e584f,Warehouse Section Head/Spare parts and auxiliary materials,Arma-HSA -,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site,· 7 - 10 Yrs of Exp,Manager,· Logistics/Supply Chain,"['· Supply Chain', '· Warehousing', '· Warehousing Management', '· Spare Parts Management']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/WSJtJWAGnz1K-Warehouse-Section-HeadSpare-parts-and-auxiliary-materials-Arma-HSA-Sharqia-Egypt
680d059c9eeca96d883e5850,Cooking Teacher,Elite Education Group -,"Shorouk City, Cairo, Egypt",Full Time,On-site,· 1 - 2 Yrs of Exp,Experienced,· Other,"['· Cooking', '· Communication', '· Teaching', '· English Education', '· Academic Teaching']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/FNXxvrxh5RLz-Cooking-Teacher-Elite-Education-Group-Cairo-Egypt
680d059c9eeca96d883e5851,Senior Technical Support Specialist,Elite Education Group -,"Shorouk City, Cairo, Egypt",Full Time,On-site,· 2 - 4 Yrs of Exp,Experienced,· IT/Software Development,"['· Information Technology (IT)', '· System Administration', '· Technical Support', '· Technology', '· Troubleshooting']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Dde2B0tktogX-Senior-Technical-Support-Specialist-Elite-Education-Group-Cairo-Egypt
680d059c9eeca96d883e5852,Senior Technical Sales,Meem Development -,"Alexandria, Egypt",Full Time,Hybrid,· 5+ Yrs of Exp,Experienced,· IT/Software Development,"['· CRM', '· Computer Science', '· Negotiation', '· sales skills', '· Software', '· Technical Sales', '· Communication', '· Sales']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/DuLMmkLsgLj1-Senior-Technical-Sales-Meem-Development-Alexandria-Egypt
680d059c9eeca96d883e5853,Coffee Factory Manager,Confidential -,"New Cairo, Cairo, Egypt",Full Time,On-site,· 5 - 10 Yrs of Exp,Manager,· Manufacturing/Production,"['· coffee', '· Industry', '· Manufacturing']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/X3a7ECRqjmuv-Coffee-Factory-Manager-Cairo-Egypt
680d059c9eeca96d883e5854,Production and Planning Manager,Circle K -,"New Cairo, Cairo, Egypt",Full Time,On-site,· 8 - 12 Yrs of Exp,Manager,· Manufacturing/Production,"['· Production Planning', '· Production', '· Planning']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/WpghJL1cgHZ4-Production-and-Planning-Manager-Circle-K-Cairo-Egypt
680d059c9eeca96d883e5855,Receptionist - New Cairo,Al Masria Group  -,"New Cairo, Cairo, Egypt",Full Time,On-site,· 0 - 1 Yrs of Exp,Entry Level,· Administration,"['· Administration', '· Microsoft Office', '· receptionist', '· Admin', '· Office management', '· Skills', '· Management', '· Communication']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/0GB9zdaidiaD-Receptionist---New-Cairo-Al-Masria-Group-Cairo-Egypt
680d059c9eeca96d883e5856,AR and Banking accountant,Al Masria Group  -,"Nasr City, Cairo, Egypt",Full Time,On-site,· 3 - 4 Yrs of Exp,Experienced,· Accounting/Finance,"['· Banking', '· Accounting', '· Communication', '· Customer Service']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/SiOjsi8jM7FJ-AR-and-Banking-accountant-Al-Masria-Group-Cairo-Egypt
680d059c9eeca96d883e5857,AI Engineer – Arabic OCR Specialist,Epic Systems -,"Zamalek, Cairo, Egypt",Full Time,On-site,· 1 - 3 Yrs of Exp,Experienced,· IT/Software Development,"['· Arabic', '· Computer Science', '· Engineering', '· AI', '· English']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/1q6YNmeb5zp8-AI-Engineer-–-Arabic-OCR-Specialist-Epic-Systems-Cairo-Egypt
680d059c9eeca96d883e5858,Business Developer,Impacts Point -,"Bab Sharq, Alexandria, Egypt",Full Time,Hybrid,· 0 - 5 Yrs of Exp,Entry Level,· Business Development,"['· Business Development', '· Experience', '· Market Trends', '· Negotiation', '· sales skills', '· Sales Target', '· business', '· Communication']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/CTaYpk4pXWMN-Business-Developer-Impacts-Point-Alexandria-Egypt
680d059c9eeca96d883e5859,Medical Representative,Confidential -,"Manama, Bahrain",Full Time,On-site,· 2 - 3 Yrs of Exp,Experienced,· Medical/Healthcare,"['· Communication', '· Orthopedics', '· Development', '· Medical', '· Medical representative', '· MEDICINE', '· Pharmacy', '· Representative', '· Sales']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/fOeyRIzl48uk-Medical-Representative-Manama-Bahrain
680d059c9eeca96d883e585a,Key Account Specialist - Cairo,Nahdet Misr Publishing Group -,"Giza, Egypt",Full Time,On-site,· 0 - 2 Yrs of Exp,Experienced,· Customer Service/Support,"['· Communication', '· sales skills', '· Sales', '· Communication skills', '· Schools', '· English', '· Customer Service', '· Presentation Skills']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/dXB0js9c81sB-Key-Account-Specialist---Cairo-Nahdet-Misr-Publishing-Group-Giza-Egypt
680d059c9eeca96d883e585b,Key Account Specialist - El Gharbia,Nahdet Misr Publishing Group -,"Giza, Egypt",Full Time,On-site,· 0 - 2 Yrs of Exp,Experienced,· Customer Service/Support,"['· Communication', '· sales skills', '· Sales', '· Communication skills', '· Schools', '· English', '· Customer Service', '· Presentation Skills']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/kqex545WDpeG-Key-Account-Specialist---El-Gharbia-Nahdet-Misr-Publishing-Group-Giza-Egypt
680d059c9eeca96d883e585c,Key Account Specialist - El Menya,Nahdet Misr Publishing Group -,"Giza, Egypt",Full Time,On-site,· 0 - 2 Yrs of Exp,Experienced,· Customer Service/Support,"['· Communication', '· sales skills', '· Sales', '· Communication skills', '· Schools', '· English', '· Customer Service', '· Presentation Skills']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/PCNPUjDkfCQj-Key-Account-Specialist---El-Menya-Nahdet-Misr-Publishing-Group-Giza-Egypt
680d059c9eeca96d883e585d,Appointment Setter,holvrine -,"Glim, Alexandria, Egypt",Full Time,On-site,· 1 - 1 Yrs of Exp,Student,· Customer Service/Support,"['· strong communication skills', '· customer exellance', '· Real Estate Sales', '· active listening', '· Sales Field', '· Sales Target']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/MGyjovGg6h1Z-Appointment-Setter-holvrine-Alexandria-Egypt
680d059c9eeca96d883e585e,Medical Sales Representative,TotalCare Egypt -,"Cairo, Egypt",Full Time,On-site,· 1 - 7 Yrs of Exp,Entry Level,· Medical/Healthcare,"['· Medical', '· Biomedical', '· sales skills', '· Sales', '· Sales Target', '· Communication', '· Communication skills']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/P26S1e1oOiKc-Medical-Sales-Representative-TotalCare-Egypt-Cairo-Egypt
680d059c9eeca96d883e585f,Power BI Developer in UAE,AClass Solutions -,"Cairo, Egypt",Full Time,On-site,· 2 - 5 Yrs of Exp,Experienced,· IT/Software Development,"['· BI', '· Power BI', '· SQL Server Analysis Services', '· SQL Server Reporting Services', '· Oracle PL/SQL', '· Oracle', '· DAX', '· Microsoft Power BI']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/rMnn4j1W73lQ-Power-BI-Developer-in-UAE-AClass-Solutions-Cairo-Egypt
